
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:B5:D0:60:E8:41, 2025-01-17 14:03:30, 2025-01-17 14:03:52, -31,        3, 48:BD:CE:3C:97:01,
FA:29:D3:FC:FF:FB, 2025-01-17 14:03:30, 2025-01-17 14:03:52, -81,        8, D4:B7:09:D0:ED:30,
64:49:7D:AF:CC:9C, 2025-01-17 14:03:33, 2025-01-17 14:03:51, -40,       18, F8:64:B8:D0:51:AE,
D0:7A:B5:AE:4C:8A, 2025-01-17 14:03:35, 2025-01-17 14:03:46,  -1,        5, 28:77:77:D5:85:88,
C0:23:8D:65:E0:E6, 2025-01-17 14:03:37, 2025-01-17 14:03:37, -75,        2, 2C:96:82:A1:6A:50,
00:BF:AF:C8:75:AE, 2025-01-17 14:03:40, 2025-01-17 14:03:40, -81,        1, 28:57:3A:F0:65:41,
B8:94:36:8E:33:1D, 2025-01-17 14:03:41, 2025-01-17 14:03:41, -72,        2, D4:B7:09:D0:ED:30,
08:33:ED:ED:73:9F, 2025-01-17 14:03:43, 2025-01-17 14:03:43, -80,        1, (not associated) ,
12:2C:18:10:71:B1, 2025-01-17 14:03:51, 2025-01-17 14:03:51, -89,        3, (not associated) ,
1E:70:F9:71:77:23, 2025-01-17 14:03:51, 2025-01-17 14:03:51, -80,        1, F8:64:B8:D0:51:AE,
C4:9F:4C:D9:1C:53, 2025-01-17 14:03:52, 2025-01-17 14:03:52, -52,        2, 48:BD:CE:3C:97:01,
56:81:5D:F1:A8:20, 2025-01-17 14:03:53, 2025-01-17 14:03:53, -75,        2, (not associated) ,

