
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
2C:70:4F:53:0E:9B, 2025-01-17 14:18:22, 2025-01-17 14:18:23,  4, 130, WPA2, CCMP TKIP, PSK, -73,        2,        0,   0.  0.  0.  0,  13, SEBASTIAN_ETB, 
F4:95:1B:DB:4D:F8, 2025-01-17 14:18:23, 2025-01-17 14:18:29, 10, 540, WPA2 WPA, CCMP TKIP, PSK, -52,       12,        0,   0.  0.  0.  0,  12, Claro_6D7931, 
F8:64:B8:D0:51:AE, 2025-01-17 14:18:23, 2025-01-17 14:18:27, 11, 130, WPA2, CCMP TKIP, PSK, -71,        5,        1,   0.  0.  0.  0,  17, ESCRITORIO_2.4GHz, 
D8:9F:D4:07:6F:D1, 2025-01-17 14:18:23, 2025-01-17 14:18:27,  6, 130, WPA2, CCMP TKIP, PSK, -71,        6,        0,   0.  0.  0.  0,  14, FAMILIA_GOMEZ2, 
74:26:FF:E5:F5:6E, 2025-01-17 14:18:23, 2025-01-17 14:18:27, 11, 130, WPA2, CCMP TKIP, PSK, -76,        4,        0,   0.  0.  0.  0,  18, JORDAN_FORERO_2.4G, 
58:2F:F7:05:B9:56, 2025-01-17 14:18:23, 2025-01-17 14:18:27, 11, 130, WPA2 WPA, CCMP TKIP, PSK, -69,        5,        0,   0.  0.  0.  0,  16, Familia_Bautista, 
D4:AB:82:B6:9F:9D, 2025-01-17 14:18:23, 2025-01-17 14:18:23, 11, 540, WPA2, CCMP, PSK, -69,        2,        0,   0.  0.  0.  0,   9, TIGO-0AA2, 
56:AC:9E:4B:22:D2, 2025-01-17 14:18:23, 2025-01-17 14:18:23, -1,  -1, , ,   , -73,        0,        0,   0.  0.  0.  0,   0, , 
08:33:ED:ED:73:9F, 2025-01-17 14:18:23, 2025-01-17 14:18:27, 11, 648, WPA2, CCMP, PSK, -75,        2,        0,   0.  0.  0.  0,   4, Mlop, 
20:08:89:0D:AF:34, 2025-01-17 14:18:24, 2025-01-17 14:18:24,  6, 130, WPA2, CCMP TKIP, PSK, -57,        1,        0,   0.  0.  0.  0,  15, JAPI_2.4Ghz_ETB, 
00:18:05:15:6A:A3, 2025-01-17 14:18:24, 2025-01-17 14:18:24,  1, 360, OPN, ,   , -66,        2,        0,   0.  0.  0.  0,  21, TransMiTeConecta_4003, 
50:A5:DC:D2:3B:F5, 2025-01-17 14:18:27, 2025-01-17 14:18:27, 11, 195, WPA2, CCMP, PSK, -78,        2,        0,   0.  0.  0.  0,  13, VILLALBA_PAYA, 
28:57:3A:DB:70:01, 2025-01-17 14:18:27, 2025-01-17 14:18:27,  6, 130, WPA2, CCMP TKIP, PSK, -75,        2,        0,   0.  0.  0.  0,  17, FamiliaTorresO-5G, 
DA:7C:30:63:CF:14, 2025-01-17 14:18:28, 2025-01-17 14:18:29, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
FA:29:D3:FC:FF:FB, 2025-01-17 14:18:20, 2025-01-17 14:18:28, -78,        3, D4:B7:09:D0:ED:30,
C0:23:8D:65:E0:E6, 2025-01-17 14:18:20, 2025-01-17 14:18:28, -74,       10, 2C:96:82:A1:6A:50,
84:C8:A0:F9:59:45, 2025-01-17 14:18:22, 2025-01-17 14:18:22, -69,        1, (not associated) ,
02:80:D4:10:E7:C0, 2025-01-17 14:18:24, 2025-01-17 14:18:24, -63,        3, (not associated) ,JENDRYS,Julieth 
F8:4F:AD:DC:7D:A1, 2025-01-17 14:18:26, 2025-01-17 14:18:27, -71,        5, (not associated) ,SSID5
64:49:7D:AF:CC:9C, 2025-01-17 14:18:27, 2025-01-17 14:18:27, -57,        1, F8:64:B8:D0:51:AE,
6A:89:6D:D7:E2:50, 2025-01-17 14:18:28, 2025-01-17 14:18:29, -68,       13, DA:7C:30:63:CF:14,

